,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
A1BG,0,1.107880708,0,0,0,0,1.107880708,0,0,-1.193824337,0,0,0
A1BG-AS1,0,1.814002288,0,0,0,0,1.814002288,1.200219486,0,0,0,0,1.452076803
A2LD1,1.700670068,-1.764840655,0,0,0,0,0,-1.203771162,1.320875478,1.191701297,0,0,-1.818599518
A2M,2.574683388,-3.237512413,0,0,0,-1.51716381,0,0,0,0,0,0,-2.906252981
A4GALT,0,-1.329448348,0,0,0,0,-1.329448348,0,0,1.152182368,0,0,-2.015280052
A4GNT,0,0,0,0,0,0,0,0,1.20033764,1.242692226,0,0,0
AAA1,0,0,0,0,0,0,0,0,0,0,0,0,-1.053992625
AAAS,0,0,-1.379417781,1.256334128,0,1.407545836,0,-1.379417781,0,-1.272551397,0,1.256334128,1.750423743
AACS,0,1.901761888,1.15779018,0,0,0,1.901761888,1.15779018,0,0,0,1.169447405,1.781624775
AADAC,0,3.603497991,0,1.537469895,1.710027815,4.933813839,3.603497991,2.339714597,0,-1.146162613,1.710027815,1.537469895,2.382279515
AADACL2,0,1.075237198,0,0,0,0,1.075237198,0,0,0,0,0,0
AADACL3,-1.326970295,-1.361865467,0,0,0,0,-1.361865467,0,0,-1.133470724,0,0,-1.801400168
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,-1.499459494
AADAT,0,-1.297878847,0,0,0,0,-1.297878847,1.209835169,0,1.148574298,0,0,0
AAGAB,1.286414014,-1.283447706,-1.152411233,1.123585071,0,1.184932465,-1.283447706,-1.152411233,1.334571424,1.255698523,0,1.123585071,0
AAK1,0,-1.406858872,0,0,0,0,-1.406858872,0,0,0,0,0,-1.380780836
